Altura,Latitud,Longitud
769,-89.4331814666,0.106987056662
768,-89.4339833129,0.105524184888
767,-89.4347851521,0.104061917721
766,-89.4355869842,0.102600255157
765,-89.4363888092,0.101139197188
764,-89.4371906272,0.0996787438102
763,-89.4379924381,0.098218895016
762,-89.4387942419,0.0967596507998
761,-89.4395960388,0.0953010111556
760,-89.4403978287,0.0938429760775
759,-89.4411996116,0.0923855455593
758,-89.4420013876,0.0909287195952
757,-89.4428031566,0.0894724981792
756,-89.4436049187,0.0880168813051
755,-89.4444066739,0.086561868967
754,-89.4452084222,0.085107461159
753,-89.4460101637,0.083653657875
752,-89.4468118983,0.0822004591089
751,-89.4476136261,0.0807478648548
750,-89.4484153471,0.0792958751068
749,-89.4492170613,0.0778444898587
748,-89.4500187688,0.0763937091046
747,-89.4508204694,0.0749435328384
746,-89.4516221634,0.0734939610542
745,-89.4524238506,0.072044993746
744,-89.4532255311,0.0705966309077
743,-89.4540272049,0.0691488725334
742,-89.4548288721,0.0677017186169
741,-89.4556305326,0.0662551691524
740,-89.4564321865,0.0648092241338
739,-89.4572338337,0.0633638835552
738,-89.4580354744,0.0619191474104
737,-89.4588371085,0.0604750156935
736,-89.459638736,0.0590314883984
735,-89.460440357,0.0575885655193
734,-89.4612419715,0.0561462470499
733,-89.4620435794,0.0547045329844
732,-89.4628451809,0.0532634233168
731,-89.4636467758,0.0518229180409
730,-89.4644483644,0.0503830171509
729,-89.4652499464,0.0489437206406
728,-89.4660515221,0.0475050285041
727,-89.4668530913,0.0460669407354
726,-89.4676546542,0.0446294573284
725,-89.4684562107,0.0431925782772
724,-89.4692577608,0.0417563035756
723,-89.4700593046,0.0403206332177
722,-89.470860842,0.0388855671976
721,-89.4716623732,0.037451105509
720,-89.472463898,0.0360172481461
719,-89.4732654166,0.0345839951029
718,-89.474066929,0.0331513463732
717,-89.4748684351,0.0317193019511
716,-89.4756699349,0.0302878618306
715,-89.4764714286,0.0288570260056
714,-89.4772729161,0.0274267944701
713,-89.4780743974,0.0259971672182
712,-89.4788758725,0.0245681442437
711,-89.4796773415,0.0231397255406
710,-89.4804788044,0.021711911103
709,-89.4812802612,0.0202847009248
708,-89.4820817119,0.018858095
707,-89.4828831565,0.0174320933225
706,-89.483684595,0.0160066958864
705,-89.4844860276,0.0145819026855
704,-89.485287454,0.013157713714
703,-89.4860888745,0.0117341289657
702,-89.486890289,0.0103111484346
701,-89.4876916975,0.00888877211471
700,-89.4884931,0.007467
699,-89.4892944966,0.00604583208443
698,-89.4900958872,0.00462526836197
697,-89.490897272,0.0032053088266
696,-89.4916986508,0.00178595347229
695,-89.4925000238,0.000367202293004
694,-89.4933013909,-0.00105094471728
693,-89.4941027521,-0.00246848756459
692,-89.4949041075,-0.00388542625496
691,-89.4957054571,-0.00530176079441
690,-89.4965068009,-0.00671749118898
689,-89.4973081389,-0.00813261744469
688,-89.4981094711,-0.00954713956757
687,-89.4989107975,-0.0109610575637
686,-89.4997121182,-0.012374371439
685,-89.5005134332,-0.0137870811995
684,-89.5013147425,-0.0151991868514
683,-89.5021160461,-0.0166106884005
682,-89.502917344,-0.018021585853
681,-89.5037186362,-0.0194318792148
680,-89.5045199228,-0.020841568492
679,-89.5053212038,-0.0222506536906
678,-89.5061224792,-0.0236591348167
677,-89.5069237489,-0.0250670118761
676,-89.5077250131,-0.0264742848751
675,-89.5085262716,-0.0278809538195
674,-89.5093275247,-0.0292870187154
